resume,score
"Experienced in tensorflow, machine learning, teamwork, communication.",0.25
"Experienced in django, teamwork, sql, machine learning, tensorflow, excel.",0.25
"Experienced in teamwork, python, flask.",0.5
"Experienced in sql, tensorflow, excel, python, flask.",0.5
"Experienced in tensorflow, excel, sql, django, communication, teamwork.",0.0
"Experienced in excel, pandas, django.",0.25
"Experienced in machine learning, python, excel, flask.",0.75
"Experienced in tensorflow, sql, flask, teamwork.",0.25
"Experienced in sql, python, machine learning.",0.5
"Experienced in communication, sql, excel.",0.0
"Experienced in machine learning, pandas, flask.",0.75
"Experienced in communication, tensorflow, django, python.",0.25
"Experienced in machine learning, excel, flask, python, teamwork, django, tensorflow.",0.75
"Experienced in communication, python, machine learning, teamwork, flask.",0.75
"Experienced in flask, pandas, sql, teamwork, django, excel.",0.5
"Experienced in flask, python, excel, tensorflow, teamwork.",0.5
"Experienced in django, sql, tensorflow, teamwork, machine learning.",0.25
"Experienced in python, sql, flask, pandas, machine learning, django.",1.0
"Experienced in flask, teamwork, django, machine learning.",0.5
"Experienced in teamwork, machine learning, flask, tensorflow.",0.5
"Experienced in django, python, teamwork, excel, pandas, flask, communication.",0.75
"Experienced in flask, pandas, excel, communication, teamwork.",0.5
"Experienced in sql, excel, python.",0.25
"Experienced in machine learning, django, teamwork, flask.",0.5
"Experienced in excel, django, teamwork, sql.",0.0
"Experienced in machine learning, sql, teamwork.",0.25
"Experienced in machine learning, python, teamwork, pandas, sql, django.",0.75
"Experienced in excel, tensorflow, django, python.",0.25
"Experienced in excel, pandas, tensorflow.",0.25
"Experienced in sql, machine learning, python, flask, django.",0.75
"Experienced in pandas, sql, django, flask, python.",0.75
"Experienced in teamwork, pandas, sql, machine learning.",0.5
"Experienced in communication, django, machine learning, python, flask, tensorflow.",0.75
"Experienced in teamwork, sql, python.",0.25
"Experienced in communication, tensorflow, teamwork, excel, machine learning, sql, django.",0.25
"Experienced in django, communication, teamwork.",0.0
"Experienced in communication, python, sql, teamwork, tensorflow.",0.25
"Experienced in tensorflow, excel, communication, sql, teamwork, flask.",0.25
"Experienced in pandas, tensorflow, excel, teamwork, machine learning, sql.",0.5
"Experienced in teamwork, pandas, excel, flask, tensorflow, django.",0.5
"Experienced in flask, django, machine learning, sql, excel.",0.5
"Experienced in excel, teamwork, pandas.",0.25
"Experienced in excel, tensorflow, flask.",0.25
"Experienced in machine learning, excel, communication, django, teamwork, flask, pandas.",0.75
"Experienced in teamwork, pandas, python.",0.5
"Experienced in sql, python, pandas, flask, django, communication, machine learning.",1.0
"Experienced in machine learning, excel, teamwork, sql, tensorflow, python.",0.5
"Experienced in tensorflow, teamwork, excel, django, communication.",0.0
"Experienced in django, machine learning, pandas, excel, tensorflow, python.",0.75
"Experienced in django, machine learning, sql, python.",0.5
"Experienced in python, sql, excel, machine learning.",0.5
"Experienced in communication, tensorflow, teamwork, excel, django.",0.0
"Experienced in communication, sql, flask, excel, teamwork, tensorflow, python.",0.5
"Experienced in sql, excel, communication, django, tensorflow, pandas, machine learning.",0.5
"Experienced in django, machine learning, pandas, sql, flask, tensorflow.",0.75
"Experienced in communication, flask, tensorflow, excel, teamwork, django, machine learning.",0.5
"Experienced in machine learning, sql, python.",0.5
"Experienced in machine learning, pandas, python, teamwork, communication.",0.75
"Experienced in python, excel, django, flask, teamwork, sql.",0.5
"Experienced in django, excel, teamwork, machine learning, sql, communication.",0.25
"Experienced in machine learning, teamwork, excel, pandas, flask, sql.",0.75
"Experienced in python, excel, machine learning.",0.5
"Experienced in pandas, python, machine learning.",0.75
"Experienced in flask, tensorflow, django, sql, pandas.",0.5
"Experienced in teamwork, sql, tensorflow, django, machine learning.",0.25
"Experienced in excel, pandas, sql, flask, python, machine learning.",1.0
"Experienced in django, machine learning, pandas, communication, teamwork.",0.5
"Experienced in tensorflow, sql, pandas.",0.25
"Experienced in communication, tensorflow, teamwork, python, excel.",0.25
"Experienced in flask, communication, machine learning, excel.",0.5
"Experienced in machine learning, tensorflow, sql, pandas.",0.5
"Experienced in excel, python, sql, communication, flask, django, tensorflow.",0.5
"Experienced in teamwork, excel, machine learning, python, communication.",0.5
"Experienced in tensorflow, machine learning, sql, python, communication, django, flask.",0.75
"Experienced in python, communication, machine learning.",0.5
"Experienced in django, flask, excel, communication, python, teamwork.",0.5
"Experienced in django, pandas, teamwork, sql, flask, machine learning.",0.75
"Experienced in machine learning, pandas, tensorflow, django.",0.5
"Experienced in tensorflow, teamwork, python, django, excel, communication, machine learning.",0.5
"Experienced in sql, teamwork, excel, tensorflow.",0.0
"Experienced in flask, excel, machine learning, communication, python.",0.75
"Experienced in sql, flask, django, excel.",0.25
"Experienced in tensorflow, teamwork, flask, communication, excel, machine learning.",0.5
"Experienced in sql, teamwork, flask, tensorflow, pandas, machine learning, communication.",0.75
"Experienced in pandas, sql, flask.",0.5
"Experienced in sql, django, machine learning, pandas, tensorflow, teamwork.",0.5
"Experienced in communication, teamwork, django, flask, machine learning, python, sql.",0.75
"Experienced in python, sql, communication, teamwork.",0.25
"Experienced in python, tensorflow, pandas, flask, sql, communication.",0.75
"Experienced in django, python, machine learning, pandas, sql, communication.",0.75
"Experienced in sql, machine learning, tensorflow, python, teamwork, django.",0.5
"Experienced in teamwork, django, communication, tensorflow, sql, pandas, excel.",0.25
"Experienced in communication, machine learning, flask, pandas.",0.75
"Experienced in teamwork, sql, tensorflow.",0.0
"Experienced in sql, tensorflow, pandas.",0.25
"Experienced in machine learning, pandas, python, tensorflow.",0.75
"Experienced in machine learning, python, tensorflow.",0.5
"Experienced in python, excel, tensorflow, flask, pandas, teamwork.",0.75
"Experienced in flask, machine learning, django, tensorflow.",0.5
"Experienced in communication, machine learning, excel, tensorflow, python, pandas, django.",0.75
"Experienced in tensorflow, communication, python, teamwork.",0.25
"Experienced in flask, excel, sql, pandas, communication.",0.5
"Experienced in flask, python, tensorflow, sql, excel, machine learning, teamwork.",0.75
"Experienced in tensorflow, pandas, django, communication, teamwork.",0.25
"Experienced in machine learning, flask, django.",0.5
"Experienced in django, sql, pandas, python.",0.5
"Experienced in teamwork, excel, pandas, communication, flask, sql.",0.5
"Experienced in django, machine learning, flask.",0.5
"Experienced in communication, flask, teamwork.",0.25
"Experienced in flask, pandas, python, django, excel, sql, tensorflow.",0.75
"Experienced in teamwork, sql, excel, machine learning.",0.25
"Experienced in pandas, flask, teamwork, tensorflow.",0.5
"Experienced in machine learning, flask, pandas, teamwork, tensorflow.",0.75
"Experienced in pandas, python, tensorflow, machine learning, flask, excel, django.",1.0
"Experienced in django, excel, flask, sql, teamwork, tensorflow.",0.25
"Experienced in tensorflow, machine learning, flask, django, python, excel, pandas.",1.0
"Experienced in pandas, django, excel, python.",0.5
"Experienced in sql, excel, teamwork, python, machine learning, flask, tensorflow.",0.75
"Experienced in machine learning, teamwork, pandas.",0.5
"Experienced in sql, excel, machine learning, python, flask.",0.75
"Experienced in communication, pandas, tensorflow, django, python, machine learning.",0.75
"Experienced in django, machine learning, sql, flask, communication, tensorflow, excel.",0.5
"Experienced in sql, tensorflow, machine learning, excel, django.",0.25
"Experienced in django, sql, excel, communication, pandas, python.",0.5
"Experienced in pandas, flask, machine learning, tensorflow, sql, django.",0.75
"Experienced in django, excel, python.",0.25
"Experienced in pandas, communication, flask.",0.5
"Experienced in communication, teamwork, machine learning, excel, tensorflow, django.",0.25
"Experienced in sql, communication, excel, python, teamwork, tensorflow, flask.",0.5
"Experienced in django, teamwork, communication, flask, excel.",0.25
"Experienced in django, pandas, excel, machine learning, communication, tensorflow, sql.",0.5
"Experienced in communication, flask, machine learning.",0.5
"Experienced in machine learning, tensorflow, flask, excel, django, python.",0.75
"Experienced in django, communication, machine learning, excel, teamwork.",0.25
"Experienced in sql, communication, tensorflow, python, teamwork.",0.25
"Experienced in django, teamwork, python, sql, flask.",0.5
"Experienced in django, tensorflow, sql, flask.",0.25
"Experienced in python, teamwork, pandas, flask.",0.75
"Experienced in communication, python, sql, django.",0.25
"Experienced in sql, pandas, excel, django.",0.25
"Experienced in teamwork, python, excel.",0.25
"Experienced in excel, pandas, sql.",0.25
"Experienced in sql, machine learning, excel, django, pandas, tensorflow.",0.5
"Experienced in sql, pandas, django.",0.25
"Experienced in django, python, machine learning.",0.5
"Experienced in teamwork, tensorflow, sql, django.",0.0
"Experienced in machine learning, sql, tensorflow, flask, teamwork, pandas, django.",0.75
"Experienced in sql, communication, flask, pandas, tensorflow.",0.5
"Experienced in python, communication, flask, django, excel, pandas.",0.75
"Experienced in pandas, machine learning, flask, excel, teamwork, django, tensorflow.",0.75
"Experienced in sql, machine learning, flask, pandas, excel, python.",1.0
"Experienced in machine learning, teamwork, sql.",0.25
"Experienced in teamwork, python, pandas, django, tensorflow, flask, machine learning.",1.0
"Experienced in sql, communication, excel.",0.0
"Experienced in sql, flask, excel, python, tensorflow, django.",0.5
"Experienced in python, sql, communication.",0.25
"Experienced in machine learning, sql, flask, communication.",0.5
"Experienced in machine learning, flask, sql, teamwork.",0.5
"Experienced in django, flask, sql, tensorflow.",0.25
"Experienced in teamwork, tensorflow, machine learning, communication, sql, python, flask.",0.75
"Experienced in pandas, machine learning, django, sql, tensorflow.",0.5
"Experienced in sql, python, django, excel.",0.25
"Experienced in pandas, django, flask.",0.5
"Experienced in python, excel, flask, machine learning, communication.",0.75
"Experienced in teamwork, machine learning, pandas, sql, django, communication, excel.",0.5
"Experienced in teamwork, tensorflow, python.",0.25
"Experienced in communication, sql, pandas, teamwork, python.",0.5
"Experienced in machine learning, python, tensorflow, django, sql.",0.5
"Experienced in python, django, flask.",0.5
"Experienced in django, sql, excel, python, teamwork, communication, pandas.",0.5
"Experienced in teamwork, communication, pandas, python, sql, tensorflow.",0.5
"Experienced in communication, django, teamwork, tensorflow, machine learning, sql.",0.25
"Experienced in tensorflow, excel, flask, django.",0.25
"Experienced in communication, teamwork, flask, django, machine learning, sql.",0.5
"Experienced in tensorflow, django, pandas, teamwork.",0.25
"Experienced in teamwork, flask, excel, sql, machine learning, communication.",0.5
"Experienced in excel, sql, communication, machine learning, pandas.",0.5
"Experienced in teamwork, python, sql.",0.25
"Experienced in teamwork, excel, communication, python, sql, django, machine learning.",0.5
"Experienced in sql, teamwork, python, communication, pandas, machine learning, flask.",1.0
"Experienced in pandas, excel, machine learning, communication, teamwork, sql, django.",0.5
"Experienced in machine learning, django, tensorflow.",0.25
"Experienced in sql, communication, django.",0.0
"Experienced in django, python, machine learning, tensorflow, teamwork.",0.5
"Experienced in tensorflow, python, teamwork, excel, sql, django.",0.25
"Experienced in flask, excel, sql, python.",0.5
"Experienced in machine learning, django, pandas, flask, communication, teamwork.",0.75
"Experienced in pandas, python, flask, excel, sql.",0.75
"Experienced in flask, django, excel.",0.25
"Experienced in django, flask, python, excel, machine learning, tensorflow, sql.",0.75
"Experienced in pandas, python, machine learning, django, teamwork.",0.75
"Experienced in excel, python, communication, sql, flask, teamwork, machine learning.",0.75
"Experienced in django, machine learning, tensorflow.",0.25
"Experienced in teamwork, excel, communication, python, pandas.",0.5
"Experienced in flask, machine learning, communication.",0.5
"Experienced in excel, pandas, machine learning, communication, flask, django.",0.75
"Experienced in pandas, excel, teamwork, sql.",0.25
"Experienced in flask, django, sql, python, excel.",0.5
"Experienced in communication, python, teamwork, sql, pandas, tensorflow.",0.5
"Experienced in machine learning, flask, communication, pandas, teamwork, django, python.",1.0
"Experienced in communication, flask, tensorflow.",0.25
"Experienced in teamwork, communication, sql, pandas, machine learning, django.",0.5
"Experienced in django, teamwork, pandas, machine learning, tensorflow, python.",0.75
"Experienced in flask, python, pandas, tensorflow, sql, django, communication.",0.75
"Experienced in excel, pandas, machine learning, communication, sql, tensorflow, teamwork.",0.5
"Experienced in tensorflow, flask, excel, django, pandas, sql, teamwork.",0.5
"Experienced in flask, tensorflow, django, teamwork, communication, excel.",0.25
"Experienced in flask, pandas, communication, tensorflow, python.",0.75
"Experienced in flask, communication, django, python, machine learning.",0.75
"Experienced in machine learning, excel, sql, tensorflow, pandas, flask.",0.75
"Experienced in teamwork, sql, machine learning, python, communication, tensorflow, excel.",0.5
"Experienced in django, sql, flask, machine learning.",0.5
"Experienced in sql, flask, pandas.",0.5
"Experienced in teamwork, django, pandas, machine learning, excel.",0.5
"Experienced in sql, pandas, tensorflow.",0.25
"Experienced in machine learning, django, tensorflow, flask, teamwork, python.",0.75
"Experienced in excel, tensorflow, machine learning.",0.25
"Experienced in python, machine learning, pandas, excel, flask, tensorflow.",1.0
"Experienced in sql, machine learning, pandas, python, flask, tensorflow.",1.0
"Experienced in communication, excel, teamwork, python, flask, tensorflow, sql.",0.5
"Experienced in machine learning, pandas, flask.",0.75
"Experienced in pandas, sql, teamwork, tensorflow.",0.25
"Experienced in excel, python, machine learning, teamwork.",0.5
"Experienced in machine learning, pandas, communication, teamwork.",0.5
"Experienced in sql, excel, python, teamwork, django, tensorflow, machine learning.",0.5
"Experienced in excel, machine learning, tensorflow, flask, communication, django, teamwork.",0.5
"Experienced in python, django, communication, tensorflow, sql, machine learning.",0.5
"Experienced in django, pandas, communication, machine learning, python, flask, tensorflow.",1.0
"Experienced in django, excel, pandas, python, sql, tensorflow, teamwork.",0.5
"Experienced in sql, machine learning, flask, tensorflow.",0.5
"Experienced in pandas, communication, sql.",0.25
"Experienced in teamwork, machine learning, django, flask, sql, excel.",0.5
"Experienced in communication, python, django, flask, excel.",0.5
"Experienced in communication, python, tensorflow, sql, django.",0.25
"Experienced in pandas, machine learning, sql.",0.5
"Experienced in pandas, sql, django, machine learning, flask, tensorflow, teamwork.",0.75
"Experienced in excel, teamwork, flask.",0.25
"Experienced in django, machine learning, communication, excel.",0.25
"Experienced in django, flask, excel, python, tensorflow, machine learning.",0.75
"Experienced in excel, communication, machine learning.",0.25
"Experienced in python, django, teamwork, communication, sql.",0.25
"Experienced in teamwork, django, tensorflow, pandas.",0.25
"Experienced in excel, python, communication, flask, sql, tensorflow, machine learning.",0.75
"Experienced in python, teamwork, excel, machine learning, pandas, tensorflow, communication.",0.75
"Experienced in communication, teamwork, excel, python, flask, django, machine learning.",0.75
"Experienced in tensorflow, teamwork, communication, excel.",0.0
"Experienced in flask, sql, pandas, python.",0.75
"Experienced in machine learning, sql, flask, pandas.",0.75
"Experienced in python, excel, teamwork, communication.",0.25
"Experienced in tensorflow, excel, pandas, sql.",0.25
"Experienced in communication, teamwork, sql, pandas, excel.",0.25
"Experienced in flask, python, pandas, machine learning.",1.0
"Experienced in communication, python, machine learning, tensorflow.",0.5
"Experienced in sql, flask, python, django, machine learning, excel.",0.75
"Experienced in excel, communication, sql, pandas, teamwork.",0.25
"Experienced in pandas, excel, communication, django, flask, python, machine learning.",1.0
"Experienced in pandas, flask, communication, sql, python, excel, tensorflow.",0.75
"Experienced in pandas, tensorflow, excel, django.",0.25
"Experienced in flask, machine learning, excel, teamwork.",0.5
"Experienced in excel, teamwork, django, flask.",0.25
"Experienced in teamwork, pandas, flask, python, tensorflow, communication, django.",0.75
"Experienced in machine learning, communication, teamwork, flask, sql, pandas, tensorflow.",0.75
"Experienced in django, communication, teamwork, sql, flask.",0.25
"Experienced in flask, django, tensorflow, teamwork, communication, python, pandas.",0.75
"Experienced in teamwork, communication, machine learning, python.",0.5
"Experienced in communication, python, django, flask, sql, tensorflow.",0.5
"Experienced in pandas, teamwork, excel, communication, flask, machine learning, django.",0.75
"Experienced in sql, flask, pandas, teamwork, python.",0.75
"Experienced in flask, teamwork, excel, django, communication.",0.25
"Experienced in communication, teamwork, tensorflow, pandas, django, machine learning, excel.",0.5
"Experienced in communication, teamwork, machine learning.",0.25
"Experienced in sql, machine learning, pandas.",0.5
"Experienced in pandas, django, flask, communication, sql.",0.5
"Experienced in pandas, python, flask.",0.75
"Experienced in pandas, teamwork, excel, machine learning.",0.5
"Experienced in flask, pandas, sql.",0.5
"Experienced in pandas, teamwork, machine learning, python, excel, sql.",0.75
"Experienced in flask, machine learning, communication, sql, django.",0.5
"Experienced in excel, machine learning, python, teamwork, pandas, communication, flask.",1.0
"Experienced in communication, pandas, tensorflow, django, machine learning, sql.",0.5
"Experienced in pandas, flask, python, django, excel.",0.75
"Experienced in teamwork, excel, communication, flask.",0.25
"Experienced in excel, sql, pandas, tensorflow, python, machine learning.",0.75
"Experienced in python, tensorflow, machine learning, django, excel.",0.5
"Experienced in django, teamwork, python, tensorflow, pandas, flask.",0.75
"Experienced in machine learning, teamwork, sql, tensorflow, django, communication.",0.25
"Experienced in tensorflow, sql, flask, communication, django, machine learning.",0.5
"Experienced in python, teamwork, communication.",0.25
"Experienced in django, excel, pandas, flask, python.",0.75
"Experienced in machine learning, tensorflow, teamwork, python, flask.",0.75
"Experienced in sql, django, tensorflow, machine learning, python.",0.5
"Experienced in sql, teamwork, python, django, excel.",0.25
"Experienced in sql, flask, pandas, communication.",0.5
"Experienced in excel, teamwork, flask, communication, sql.",0.25
"Experienced in machine learning, python, flask, pandas, excel, sql, teamwork.",1.0
"Experienced in python, machine learning, tensorflow, pandas.",0.75
"Experienced in excel, python, tensorflow, teamwork, sql.",0.25
"Experienced in machine learning, excel, tensorflow, flask.",0.5
"Experienced in flask, communication, python, machine learning, tensorflow.",0.75
"Experienced in teamwork, sql, pandas, tensorflow, django, flask.",0.5
"Experienced in sql, python, communication.",0.25
"Experienced in python, teamwork, sql, machine learning.",0.5
"Experienced in communication, flask, pandas.",0.5
"Experienced in sql, tensorflow, excel, machine learning, flask, teamwork.",0.5
"Experienced in flask, teamwork, tensorflow, machine learning, communication.",0.5
"Experienced in flask, teamwork, sql, communication, django.",0.25
"Experienced in communication, machine learning, python, flask, tensorflow.",0.75
"Experienced in tensorflow, communication, machine learning.",0.25
"Experienced in excel, django, pandas, python.",0.5
"Experienced in python, excel, pandas.",0.5
"Experienced in tensorflow, django, teamwork, sql, flask, communication.",0.25
"Experienced in pandas, machine learning, teamwork, django.",0.5
"Experienced in tensorflow, pandas, teamwork, django, python.",0.5
"Experienced in tensorflow, python, teamwork, communication.",0.25
"Experienced in python, pandas, excel, flask, machine learning, teamwork, communication.",1.0
"Experienced in tensorflow, machine learning, communication, flask, django, sql.",0.5
"Experienced in python, pandas, tensorflow.",0.5
"Experienced in django, sql, communication.",0.0
"Experienced in excel, teamwork, python, tensorflow, sql.",0.25
"Experienced in django, teamwork, pandas, tensorflow, excel, sql.",0.25
"Experienced in teamwork, machine learning, excel, flask.",0.5
"Experienced in flask, teamwork, machine learning, python, excel, pandas, communication.",1.0
"Experienced in machine learning, teamwork, tensorflow.",0.25
"Experienced in python, django, pandas.",0.5
"Experienced in communication, pandas, sql, python.",0.5
"Experienced in teamwork, excel, flask.",0.25
"Experienced in teamwork, machine learning, sql, tensorflow, excel, django, pandas.",0.5
"Experienced in flask, python, excel, django, machine learning.",0.75
"Experienced in machine learning, pandas, flask, django, teamwork.",0.75
"Experienced in tensorflow, sql, python, teamwork, communication.",0.25
"Experienced in tensorflow, pandas, flask.",0.5
"Experienced in excel, django, teamwork, python, flask.",0.5
"Experienced in python, django, tensorflow, pandas, machine learning.",0.75
"Experienced in tensorflow, teamwork, machine learning, pandas.",0.5
"Experienced in python, machine learning, flask, teamwork, sql, pandas, tensorflow.",1.0
"Experienced in flask, teamwork, django, machine learning, tensorflow.",0.5
"Experienced in excel, communication, flask, machine learning.",0.5
"Experienced in flask, teamwork, machine learning, pandas, django.",0.75
"Experienced in teamwork, flask, sql, pandas, python.",0.75
"Experienced in django, machine learning, tensorflow, pandas, python, excel, teamwork.",0.75
"Experienced in tensorflow, flask, pandas, machine learning.",0.75
"Experienced in pandas, teamwork, tensorflow, communication, python, django, sql.",0.5
"Experienced in pandas, python, django, excel.",0.5
"Experienced in pandas, tensorflow, flask.",0.5
"Experienced in pandas, machine learning, django, teamwork, flask, tensorflow, python.",1.0
"Experienced in flask, django, communication, tensorflow.",0.25
"Experienced in django, python, teamwork.",0.25
"Experienced in communication, pandas, teamwork, sql.",0.25
"Experienced in sql, excel, tensorflow, machine learning, django, python, communication.",0.5
"Experienced in sql, excel, pandas.",0.25
"Experienced in machine learning, teamwork, flask.",0.5
"Experienced in python, flask, django, pandas, tensorflow, machine learning.",1.0
"Experienced in django, sql, python, teamwork, pandas.",0.5
"Experienced in machine learning, python, teamwork, communication, tensorflow, excel, django.",0.5
"Experienced in excel, flask, django.",0.25
"Experienced in pandas, machine learning, sql.",0.5
"Experienced in flask, communication, python.",0.5
"Experienced in tensorflow, communication, flask, sql, machine learning, excel.",0.5
"Experienced in python, tensorflow, django.",0.25
"Experienced in django, sql, teamwork, excel, machine learning.",0.25
"Experienced in teamwork, tensorflow, sql, pandas.",0.25
"Experienced in teamwork, flask, python, sql, excel, pandas, tensorflow.",0.75
"Experienced in communication, tensorflow, teamwork.",0.0
"Experienced in communication, django, pandas, sql, teamwork, machine learning, excel.",0.5
"Experienced in pandas, python, communication, django, teamwork.",0.5
"Experienced in python, flask, django.",0.5
"Experienced in python, sql, django, teamwork, communication, excel, flask.",0.5
"Experienced in python, tensorflow, sql, excel, teamwork.",0.25
"Experienced in sql, teamwork, django, python, machine learning, flask.",0.75
"Experienced in communication, tensorflow, machine learning, sql.",0.25
"Experienced in tensorflow, excel, flask, machine learning, python, sql, teamwork.",0.75
"Experienced in pandas, flask, communication, machine learning.",0.75
"Experienced in sql, django, tensorflow, excel, flask, pandas.",0.5
"Experienced in python, django, pandas, tensorflow, communication, teamwork.",0.5
"Experienced in teamwork, pandas, communication, python, sql.",0.5
"Experienced in communication, python, machine learning, excel, teamwork, django, tensorflow.",0.5
"Experienced in tensorflow, excel, sql, python.",0.25
"Experienced in django, pandas, tensorflow, python, machine learning.",0.75
"Experienced in python, communication, teamwork, excel, pandas, machine learning, flask.",1.0
"Experienced in tensorflow, excel, django.",0.0
"Experienced in sql, pandas, excel, machine learning, python, django, tensorflow.",0.75
"Experienced in tensorflow, communication, machine learning, sql.",0.25
"Experienced in teamwork, communication, python, tensorflow, flask, django.",0.5
"Experienced in flask, tensorflow, teamwork, excel.",0.25
"Experienced in python, tensorflow, machine learning, pandas, sql, communication, excel.",0.75
"Experienced in teamwork, tensorflow, python, flask.",0.5
"Experienced in sql, django, python, teamwork, flask.",0.5
"Experienced in flask, pandas, excel, teamwork, communication, django.",0.5
"Experienced in sql, communication, excel, flask.",0.25
"Experienced in tensorflow, python, communication, machine learning.",0.5
"Experienced in communication, pandas, python, excel.",0.5
"Experienced in tensorflow, flask, teamwork, django, python, sql, excel.",0.5
"Experienced in sql, django, machine learning, pandas.",0.5
"Experienced in excel, sql, tensorflow, python, flask, django, machine learning.",0.75
"Experienced in teamwork, machine learning, communication, django.",0.25
"Experienced in python, pandas, flask, teamwork, communication, django.",0.75
"Experienced in python, flask, teamwork, machine learning.",0.75
"Experienced in machine learning, teamwork, django, communication, pandas, excel, flask.",0.75
"Experienced in pandas, communication, sql, flask, excel, machine learning.",0.75
"Experienced in communication, django, machine learning, flask, excel.",0.5
"Experienced in pandas, django, teamwork, tensorflow, python, flask.",0.75
"Experienced in pandas, flask, python.",0.75
"Experienced in pandas, communication, machine learning, python, excel.",0.75
"Experienced in pandas, machine learning, communication, python, excel, teamwork.",0.75
"Experienced in teamwork, pandas, sql, communication, machine learning.",0.5
"Experienced in pandas, excel, machine learning, django, flask.",0.75
"Experienced in python, pandas, machine learning, django, excel, teamwork.",0.75
"Experienced in excel, machine learning, teamwork, pandas.",0.5
"Experienced in tensorflow, flask, machine learning, sql.",0.5
"Experienced in communication, excel, tensorflow, teamwork, pandas, sql, python.",0.5
"Experienced in communication, tensorflow, machine learning, sql, pandas, teamwork.",0.5
"Experienced in excel, communication, pandas, sql, flask, django, machine learning.",0.75
"Experienced in machine learning, sql, python, excel, communication, django.",0.5
"Experienced in machine learning, pandas, teamwork, communication, tensorflow.",0.5
"Experienced in django, python, excel.",0.25
"Experienced in flask, sql, excel, tensorflow.",0.25
"Experienced in django, flask, teamwork, sql, machine learning.",0.5
"Experienced in django, flask, communication, sql.",0.25
"Experienced in django, flask, pandas, python, machine learning, tensorflow.",1.0
"Experienced in excel, sql, communication, pandas, flask, python.",0.75
"Experienced in python, flask, django, tensorflow, pandas, teamwork, sql.",0.75
"Experienced in tensorflow, communication, pandas, excel.",0.25
"Experienced in pandas, sql, flask.",0.5
"Experienced in django, python, pandas.",0.5
"Experienced in communication, django, flask, teamwork.",0.25
"Experienced in flask, django, sql, tensorflow.",0.25
"Experienced in excel, python, pandas, communication, flask.",0.75
"Experienced in sql, excel, communication, python, pandas, tensorflow.",0.5
"Experienced in excel, python, teamwork, pandas, sql, machine learning.",0.75
"Experienced in communication, flask, django.",0.25
"Experienced in excel, django, pandas, flask, python, teamwork, machine learning.",1.0
